text,label
"Hello world!",0
"This is awesome.",1
"Bad weather today.",0
"The sun is shining brightly, what a beautiful day!",1
"I feel so sad and lonely right now.",0
"This movie was absolutely fantastic, a must-see!",1
"The customer service was terrible, very unhelpful.",0
"What a wonderful experience, truly enjoyable.",1
"I'm so frustrated with this situation, it's unbearable.",0
"Everything went perfectly, couldn't be happier!",1
"This product broke after just one use, very disappointing.",0
"So excited about my new job, it's a dream come true!",1
"The food was bland and tasteless, definitely not ordering again.",0
"What a pleasant surprise, I loved every minute of it.",1
"I'm really worried about the upcoming exams.",0
"Such a positive outcome, I'm thrilled!",1
"The traffic was a nightmare, I was stuck for hours.",0
"Learning new things is always so rewarding.",1
"I just received some terrible news.",0
"This concert was mind-blowing, the best I've ever seen!",1
"My computer crashed in the middle of an important task.",0
"Feeling incredibly grateful for all the support.",1
"This decision caused a lot of unnecessary problems.",0
"The perfect gift for anyone who loves art.",1
"I am very disappointed with the quality.",0
"Absolutely thrilled with the results!",1
"This is a complete disaster.",0
"Such a peaceful and quiet place.",1
"I hate waking up early.",0
"Life is good when you have friends.",1
